number	value	datetime_start	datetime_complete	duration	params_depth	params_dropout	params_ffn_num_layers	params_hidden_size	params_init_lr	state
80	0.9633021622684752	2020-07-13 03:37:29.848568	2020-07-13 04:49:31.881158	0 days 01:12:02.032590000	5	0.0	3	2300	0.0003521638064925615	COMPLETE
81	0.9654376534265405	2020-07-13 04:49:31.882675	2020-07-13 06:10:16.348354	0 days 01:20:44.465679000	5	0.0	3	2300	0.00035502637729094673	COMPLETE
82	0.9643808388769336	2020-07-13 06:10:16.348978	2020-07-13 07:24:03.397184	0 days 01:13:47.048206000	5	0.0	3	2200	0.0003158620926125572	COMPLETE
83	0.9654600201779595	2020-07-13 07:24:03.417512	2020-07-13 08:36:35.409100	0 days 01:12:31.991588000	5	0.0	3	2200	0.00030520424684801604	COMPLETE
84	inf	2020-07-13 08:36:35.409966	2020-07-13 08:43:19.965585	0 days 00:06:44.555619000	5	0.0	3	2400	0.0005974710068347488	COMPLETE
85	0.9824926212373707	2020-07-13 08:43:19.966319	2020-07-13 09:51:06.356072	0 days 01:07:46.389753000	5	0.0	3	2100	0.0007328120559199022	COMPLETE
86	0.9646381544515437	2020-07-13 09:51:06.356698	2020-07-13 11:09:03.255766	0 days 01:17:56.899068000	5	0.0	3	2300	0.0004242371688077713	COMPLETE
87	0.9642735397959594	2020-07-13 11:09:03.272456	2020-07-13 12:36:13.443250	0 days 01:27:10.170794000	5	0.05	3	2200	0.0002297439557658897	COMPLETE
88	0.9710453381947435	2020-07-13 12:36:13.443944	2020-07-13 14:00:30.252173	0 days 01:24:16.808229000	5	0.45	3	2000	0.000147515489515499	COMPLETE
89	0.9647849934953243	2020-07-13 14:00:30.276084	2020-07-13 15:10:30.305923	0 days 01:10:00.029839000	4	0.05	3	2300	0.00022122163575726122	COMPLETE
90	0.9692462350677853	2020-07-13 15:10:30.329495	2020-07-13 16:14:12.461253	0 days 01:03:42.131758000	5	0.1	3	2100	0.0004951225075229152	COMPLETE
91	0.9654793225707277	2020-07-13 16:14:12.525157	2020-07-13 17:24:40.989730	0 days 01:10:28.464573000	5	0.0	3	2200	0.0003535735076434581	COMPLETE
92	0.9641925617482688	2020-07-13 17:24:41.005040	2020-07-13 18:46:06.289808	0 days 01:21:25.284768000	5	0.05	3	2200	0.00023021695764437227	COMPLETE
93	0.9668997547807292	2020-07-13 18:46:06.299636	2020-07-13 20:24:23.548340	0 days 01:38:17.248704000	5	0.05	3	2400	0.0001834290194721812	COMPLETE
94	0.963253821841607	2020-07-13 20:24:23.556976	2020-07-13 21:34:28.862310	0 days 01:10:05.305334000	5	0.05	3	2100	0.00023674528369121804	COMPLETE
95	0.9663357138029608	2020-07-13 21:34:28.889340	2020-07-13 22:41:00.426804	0 days 01:06:31.537464000	5	0.05	3	2000	0.00024816078017839274	COMPLETE
96	0.9661085573328395	2020-07-13 22:41:00.432533	2020-07-14 00:04:47.954809	0 days 01:23:47.522276000	5	0.05	3	2100	0.0002361972983373277	COMPLETE
97	0.9659270436205997	2020-07-14 00:04:48.009350	2020-07-14 01:09:13.715013	0 days 01:04:25.705663000	4	0.05	3	2300	0.0002821127968987926	COMPLETE
98	0.9666715299633915	2020-07-14 01:09:13.715625	2020-07-14 01:55:01.183882	0 days 00:45:47.468257000	5	0.0	3	1900	0.0003991266325858985	COMPLETE
99	0.9677098454895694	2020-07-14 01:55:01.184503	2020-07-14 03:23:28.642162	0 days 01:28:27.457659000	5	0.05	2	2200	0.00035981719748670626	COMPLETE
