number	value	datetime_start	datetime_complete	duration	params_depth	params_dropout	params_ffn_num_layers	params_hidden_size	params_init_lr	state
77	1.8648619330402763	2020-07-02 14:01:10.121793	2020-07-02 14:24:33.410610	0 days 00:23:23.288817000	6	0.15000000000000002	3	800	0.00015354679597998444	COMPLETE
78	1.8687683067090675	2020-07-02 14:24:33.411233	2020-07-02 14:50:30.434879	0 days 00:25:57.023646000	5	0.1	3	1100	4.260851047454867e-05	COMPLETE
79	1.870375688928597	2020-07-02 14:50:30.435548	2020-07-02 15:11:59.185771	0 days 00:21:28.750223000	5	0.2	3	600	4.957122015726788e-05	COMPLETE
80	1.8710125918477556	2020-07-02 15:11:59.186396	2020-07-02 15:31:18.731370	0 days 00:19:19.544974000	6	0.05	3	700	3.2359550896288995e-05	COMPLETE
81	1.86425419344964	2020-07-02 15:31:18.732016	2020-07-02 15:54:31.524461	0 days 00:23:12.792445000	5	0.15000000000000002	3	1000	7.736052492013349e-05	COMPLETE
82	1.869957372327889	2020-07-02 15:54:31.537681	2020-07-02 16:22:46.726740	0 days 00:28:15.189059000	5	0.15000000000000002	3	1100	5.9405083289001514e-05	COMPLETE
83	1.8686220716311943	2020-07-02 16:22:46.727365	2020-07-02 16:52:48.941371	0 days 00:30:02.214006000	5	0.15000000000000002	3	1000	7.514888587193312e-05	COMPLETE
84	1.8606885205674564	2020-07-02 16:52:48.942007	2020-07-02 17:15:03.036123	0 days 00:22:14.094116000	5	0.1	3	800	9.669698576721616e-05	COMPLETE
85	1.8634636638066324	2020-07-02 17:15:03.036733	2020-07-02 17:37:12.858385	0 days 00:22:09.821652000	4	0.1	3	1000	8.964027040289577e-05	COMPLETE
86	1.8669095780677447	2020-07-02 17:37:12.859019	2020-07-02 18:03:37.050941	0 days 00:26:24.191922000	4	0.1	3	1200	9.410260951625195e-05	COMPLETE
87	1.871700997639502	2020-07-02 18:03:37.070177	2020-07-02 18:26:57.717959	0 days 00:23:20.647782000	4	0.2	3	1000	8.743135429418111e-05	COMPLETE
88	1.8608265868927447	2020-07-02 18:26:57.718805	2020-07-02 18:46:32.443272	0 days 00:19:34.724467000	4	0.15000000000000002	3	900	0.00010946077053156677	COMPLETE
89	1.8643439947421965	2020-07-02 18:46:32.443897	2020-07-02 19:06:17.891552	0 days 00:19:45.447655000	4	0.1	3	900	9.891228361112543e-05	COMPLETE
90	1.868157169516379	2020-07-02 19:06:17.892192	2020-07-02 19:23:36.332078	0 days 00:17:18.439886000	3	0.15000000000000002	3	800	0.00011530667611338203	COMPLETE
91	1.8736005070834931	2020-07-02 19:23:36.332710	2020-07-02 19:46:22.963440	0 days 00:22:46.630730000	4	0.15000000000000002	3	900	0.00017951861734639567	COMPLETE
92	1.8631578044694523	2020-07-02 19:46:22.964067	2020-07-02 20:10:23.144610	0 days 00:24:00.180543000	4	0.1	3	1100	7.16253903058429e-05	COMPLETE
93	1.862770628964287	2020-07-02 20:10:23.171077	2020-07-02 20:38:56.310571	0 days 00:28:33.139494000	4	0.1	3	1100	5.559205321873934e-05	COMPLETE
94	1.8639727970493407	2020-07-02 20:38:56.311188	2020-07-02 21:09:01.089703	0 days 00:30:04.778515000	4	0.1	3	1100	0.00014228146893914412	COMPLETE
95	1.8690323402593183	2020-07-02 21:09:01.090347	2020-07-02 21:35:24.410944	0 days 00:26:23.320597000	4	0.1	3	1400	0.00014597066764544806	COMPLETE
96	1.8601188548070586	2020-07-02 21:35:24.436733	2020-07-02 22:00:07.620240	0 days 00:24:43.183507000	4	0.1	3	1200	0.00010988288084276963	COMPLETE
97	1.8668765369938296	2020-07-02 22:00:07.620861	2020-07-02 22:26:35.193181	0 days 00:26:27.572320000	4	0.1	3	1300	0.00010820198857194614	COMPLETE
98	1.8651607824582324	2020-07-02 22:26:35.203054	2020-07-02 22:52:09.065271	0 days 00:25:33.862217000	4	0.1	3	1100	8.670946585256837e-05	COMPLETE
99	1.8806053089302475	2020-07-02 22:52:09.065928	2020-07-02 23:10:25.804907	0 days 00:18:16.738979000	4	0.1	3	1200	7.032347902355986e-05	COMPLETE
